serial_number,year,month,day,facility_id,facility_name,facility_zip,score,grade,service_description,category,size,riskLevel,owner_id,owner_name
DA0OOXP3E,2017,8,17,FA0038004,TOGOS EATERY,90010,94,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,MODERATE RISK,OW0031773,"SANTOS, FERNANDO"
DANE2BKLA,2017,8,17,FA0030884,JACK IN THE BOX #3161,90064,84,B,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,MODERATE RISK,OW0034120,"SU, LEE L."
DAZVMYNGB,2017,8,17,FA0245890,JUAN POLLO 47,90022-4759,93,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0240861,GRACIE GARCIA
DAUSCP09M,2017,8,17,FA0202993,JAMBA JUICE #644,90045,91,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0208261,BREA JUICE COMPANY LLC
DAJJVIAVU,2017,8,17,FA0072994,KUSINA FILIPINA,90065,93,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0100495,MIRANDA JUANITO
DA0AHCFPE,2017,8,17,FA0009877,CONRER BAKERY CAFE #185,90015,96,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0006589,CBC RESTAURANT CORP
DAABRHIBW,2017,8,17,FA0223950,PRESSED JUICERY - THE GROVE,90036,98,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0028997,PRESSED JUICERY LLC
DAQMDCVIA,2017,8,17,FA0072707,TOMATO PIE PIZZA JOINT,90046,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0036155,TOMATO PIE PIZZA JOINT MELRO
DAPCPITSD,2017,8,17,FA0031076,RORO'S CHICKEN,90028,92,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0001601,"ABOUMALHAM, ROGER J"
DARVR0VNL,2017,8,17,FA0156600,FALA BAR,90046,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0121881,MICHAEL S. SHABTAI
DAIIYKYD3,2017,8,17,FA0055261,YEE'S CHINESE FOOD,90043,96,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0039586,"YEE, BEN"
DAMDZV0IS,2017,8,17,FA0068570,PETER PAN MARKET,90006,94,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",LOW RISK,OW0010501,"DUNG, JI LEE"
DAWK0BRRW,2017,8,17,FA0163715,LA ESQUINA RESTAURANT #2,90065,90,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0127271,OMAR CORTES ORTIZ
DABB66XFL,2017,8,17,FA0249997,PRESSED JUICERY,90067,96,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0244180,"PRESSED JUICERY, INC."
DAGWFOPL0,2017,8,17,FA0023131,THE FLAME BROILER,90010,92,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0007231,CHAUDARY MOHAMMAD
DAI218BC7,2017,8,17,FA0175345,BEST BIG BARGAIN,90006,97,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0181908,JIMMY TRINH
DAKPYHRPB,2017,8,17,FA0224029,STARBUCKS #28051,90035,93,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,LOW RISK,OW0033938,STARBUCKS COFFEE CORPORATION
DAOHLT1WF,2017,8,17,FA0004930,ADMIRALS CLUB,90045,98,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0125020,"AMERICAN AIRLINES, INC."
DABJD3WN6,2017,8,17,FA0225480,AN'S CHAN BANG,90004,96,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0229742,AN'S CHAN BANG
DA6FFDORR,2017,8,17,FA0245633,COCO FRESH TEA AND JUICE,90045-2414,94,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0240643,"TCCJL , LLC"
DAZDKTWDB,2017,8,17,FA0230668,CHICKEN DAY,90020,92,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0234778,"T & G YUM-YUM CHICKEN ,INC"
DAYE2QOXA,2017,8,17,FA0063229,SYCAMORE TAVERN,90028,83,B,ROUTINE INSPECTION,RESTAURANT,151 + SEATS,HIGH RISK,OW0035704,THE QUINTESSENTIAL GROUP LLC
DAE2I9DRK,2017,8,17,FA0159879,FOOD AND BOUNTY,90028,96,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0124874,HELEN CAVALLO
DA2NCPN2U,2017,8,17,FA0159426,HAPPY NOODLE CO,90010,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0124440,TJ&S INC.
DADSNUIKS,2017,8,17,FA0051860,THE CORNER DOOR,90066,91,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0010340,"DOUBLE SEVEN PARTNERS, LLC."
DAFJR81MM,2017,8,17,FA0034329,LAUGH FACTORY,90046,98,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,MODERATE RISK,OW0023711,"MASADA, JAMIE"
DAOPBYZPU,2017,8,17,FA0166177,FOGO DE CHAO,90017,92,A,ROUTINE INSPECTION,RESTAURANT,151 + SEATS,HIGH RISK,OW0129360,FOGO DE CHAO CHURRASCARIA LOS ANGELES LLC
DACV90TJQ,2017,8,17,FA0034329,LAUGH FACTORY,90046,96,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,LOW RISK,OW0023711,"MASADA, JAMIE"
DAJJ9D13T,2017,8,17,FA0242469,DEL TACO # 1193,90041-1906,94,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0009661,DEL TACO INC
DATBNFGNC,2017,8,17,FA0007973,BAJA BUDS,90064,99,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0024319,MEXICAN VENTURES INC
DA1ZMUA7A,2017,8,17,FA0025998,GOAL,90048,90,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0038055,VIRGIL SB123 LLC
DA20Z0NYG,2017,8,17,FA0065093,LA CIENEGA MOBIL,90035,92,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0027925,PARSICO INC
DA5YUCP8R,2017,8,17,FA0004930,ADMIRALS CLUB,90045,91,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,LOW RISK,OW0125020,"AMERICAN AIRLINES, INC."
DAGDP1T9L,2017,8,17,FA0065484,LAS PALMAS MARKET,90038,90,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0016709,"HWANG, GLEN G"
DAKII3W66,2017,8,17,FA0048736,SMITH PHARMACY,90029,95,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",LOW RISK,OW0033236,"SMITH PHARMACY, INC."
DAPKZXV2S,2017,8,16,FA0158886,SNOW STATION,90041,96,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,LOW RISK,OW0123933,RHEA ORTIZ LUIZ
DAXU0YN5R,2017,8,16,FA0018397,DEL TACO #1105,90029,91,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,MODERATE RISK,OW0009661,DEL TACO INC
DA80VL3OT,2017,8,16,FA0019271,DODGER STADIUM,90012,96,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,LOW RISK,OW0021606,LEVY PREMIUM FOOD SERVICE LP
DARKIKUFR,2017,8,16,FA0013137,CARL'S JR.,90045,90,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,MODERATE RISK,OW0002986,"AREAS USA LAX, LLC"
DACFSUSZ4,2017,8,16,FA0012872,CAPPUCCINO'S,90048,91,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0021302,"LEE, LISA H"
DASJM62CQ,2017,8,16,FA0242945,MYUNG GA JJAM BONG,90005,93,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0238473,JIN'S STONE INC
DAGQE35J0,2017,8,16,FA0011454,BURGER KING #11422,90021,97,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,MODERATE RISK,OW0027127,PACIFIC MIDAS ENTERPRISES LL
DAKIZN6I9,2017,8,16,FA0240842,YAMASHIRO,90068,93,A,ROUTINE INSPECTION,RESTAURANT,151 + SEATS,LOW RISK,OW0236865,CEDAR RESTAURANT GROUP LLC
DAIGA7DEK,2017,8,16,FA0065230,LA MORENA BAKERY,90033,98,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0028276,"PEREZ, PAULA"
DAY9AG0YL,2017,8,16,FA0017222,MCDONALD'S #10070 (CRENSHAW),90008,97,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,MODERATE RISK,OW0006236,CAROLYN LARDAS
DAKN3ERBA,2017,8,16,FA0019271,DODGER STADIUM,90012,94,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0021606,LEVY PREMIUM FOOD SERVICE LP
DAJTW00JD,2017,8,16,FA0066376,MARGARITAS MEXICAN FOOD,90006,93,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0026372,"NUNEZ, MARCELINO"
DAFJZGP4L,2017,8,16,FA0027210,GUISADOS,90033,94,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0009565,"DE LA TORRE, ARMANDO DANIEL"
DA0JBIVUC,2017,8,16,FA0143606,ENGINE COMPANY NO. 28,90045,94,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0002986,"AREAS USA LAX, LLC"
DAEX7UVEV,2017,8,16,FA0224057,DAW YEE MYANMAR CORNER,90026,91,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0228624,DAW YEE MAYANMAR CAFE
DA6VPOP4C,2017,8,16,FA0240468,MARISCOS 4 VIENTOS #3,90023,93,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0236553,ERIKS 4 VIENTOS CORP
DAT5E20NL,2017,8,16,FA0064805,HANNAM CHAIN SNACK BAR,90006,93,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0014757,"HANNAM CHAIN USA, INC"
DA0XD0UIE,2017,8,16,FA0019271,DODGER STADIUM,90012,97,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,LOW RISK,OW0021606,LEVY PREMIUM FOOD SERVICE LP
DA6YAO7PU,2017,8,16,FA0020998,LA NEW YORK CAFE BAKERY,90005,83,B,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0020432,"LA NEW YORK CAFE BAKERY, INC"
DA4HZSWDY,2017,8,16,FA0023437,FOOD 4 LESS #770,90017,100,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",LOW RISK,OW0012108,"FOOD 4 LESS, INC."
DAC6MGV0A,2017,8,16,FA0011217,THE BIG CHILL,90064,92,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0004679,"DINOW, DIANE"
DAEBHJCOD,2017,8,16,FA0006428,BUELLER'S BAGELS,90064,93,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0018483,KARBO-RICO INC.
DAJUW1XUP,2017,8,16,FA0070608,SMG,90025,95,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",LOW RISK,OW0019705,KITOV INC
DAHNHWWQU,2017,8,16,FA0008499,CHAVEZ POLLO AND BURGER,90033,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0034183,SUH YOUNG
DAV5CBFYE,2017,8,16,FA0068924,PRADO RESTURANT,90004,95,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0028941,"PRADO,WILLIAM J"
DAHDFZHJD,2017,8,16,FA0138750,PEKING DUMPLING,90006,100,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0102062,XIANSHU SHEN
DA8MAXB8M,2017,8,16,FA0222394,CHIPOTLE  MEXICAN GRILL,90048-3402,91,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0007608,"CHIPOTLE MEXICAN GRILL, INC."
DAYQLHMHN,2017,8,16,FA0006953,CAFE SEOUL NANDARANG,90020,91,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0016238,HONG EUN CHONG INC
DAJAO9FGZ,2017,8,16,FA0024384,GARAGE PIZZA,90029,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0004094,BATTEN DOWN LLC
DADRQ5XVJ,2017,8,16,FA0019271,DODGER STADIUM,90012,96,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,LOW RISK,OW0021606,LEVY PREMIUM FOOD SERVICE LP
DAKZINBUY,2017,8,16,FA0138306,BUFFALO WILD WINGS #472,90045,91,A,ROUTINE INSPECTION,RESTAURANT,151 + SEATS,HIGH RISK,OW0004816,"BLAZIN WINGS, INC."
DAJZB1ZG5,2017,8,16,FA0069298,RAMBUTAN THAI RESTAURANT,90026,80,B,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0029478,RAMBUTAN THAT INC
DAI6IQD9C,2017,8,16,FA0008173,BAO DIM SUM HOUSE,90048,90,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0017621,"JIA HOSPITALITY KITCHEN, INC"
DA5YSBP5S,2017,8,16,FA0023117,FISH ONLY,90033,98,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0036413,"TRAN, DUNG"
DA03GHT0D,2017,8,16,FA0016721,CORONA BEACH HOUSE TEMP. STA,90045,91,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,MODERATE RISK,OW0002986,"AREAS USA LAX, LLC"
DAPQ0JQGZ,2017,8,16,FA0020947,EL NICA RESTAURANT,90006,90,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0018070,"JUAREZ,TERESA"
DA8JNA543,2017,8,16,FA0019271,DODGER STADIUM,90012,97,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0021606,LEVY PREMIUM FOOD SERVICE LP
DA930CFCM,2017,8,16,FA0158589,DONTE'S AND YARETZI PRODUCE,90058,93,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",MODERATE RISK,OW0123649,MERINO TOMAS
DAAIBL5FT,2017,8,16,FA0071672,TACO BELL #5130,90016,100,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0027154,PACIFIC COAST TACO INC
DAKOWBGLY,2017,8,16,FA0020749,EL GRULLENSE,90006,94,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0022003,"LLAMAS, ALFREDO"
DAKJ0WCGY,2017,8,16,FA0041599,HAE JANG CHON KOREAN BBQ RESTAURANT,90020,90,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0034311,SUNG AND SUN CORPORATION
DAEOX7PWX,2017,8,16,FA0061639,EL TAPATIO RESTAURANT,90033,92,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0012451,"FUENTES, JOSE"
DAARNZAL0,2017,8,16,FA0243631,ARTELICE PATISSERIE,90064,91,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0130679,TOLERO ENTERPRISE
DAYPKJPOZ,2017,8,16,FA0062236,FOSTER'S FREEZE #53,90041,92,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0025322,"MUNGUIA, RICARDO ET AL"
DAHE0MI8R,2017,8,16,FA0138280,SPITZ,91604,94,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0101659,"RADEMAH, BRYCE R."
DA90B0VWF,2017,8,16,FA0006712,AQUI ES OAXACA,90066,97,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0023513,MARTHA & ERICK SANTIAGO
DAUYZVAOI,2017,8,16,FA0008331,BASIL CAFE,90048,90,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,MODERATE RISK,OW0015391,"HERNANDEZ, CONSTANTINO F."
DATQNJCL2,2017,8,16,FA0243775,ERIK'S 4 VIENTOS #2,90023-3705,91,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0239024,ERIK'S 4 VIENTOS #2 CORPORATIO
DATQ0NX6L,2017,8,16,FA0249323,CHOCOLATE BASH,90064-2114,91,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0243595,ALBASHA LLC
DAXAETJCX,2017,8,16,FA0010561,BOO'S PHILLY STEAKS,90029,91,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,MODERATE RISK,OW0001875,AHN JUN SUB
DAAARJEAG,2017,8,16,FA0023437,FOOD 4 LESS #770,90017,99,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0012108,"FOOD 4 LESS, INC."
DAZJVVQU0,2017,8,16,FA0053932,VONS MARKET #3263,90026,93,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0038181,THE VONS COMPANIES INC.
DAAO2Z0JM,2017,8,16,FA0019271,DODGER STADIUM,90012,98,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0021606,LEVY PREMIUM FOOD SERVICE LP
DAIY74FCF,2017,8,16,FA0170394,LOST KNIGHT,90026,96,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,LOW RISK,OW0178112,HGCC SUNSET OPERATIONS LLC
DAJHU4EHC,2017,8,16,FA0240842,YAMASHIRO,90068,93,A,ROUTINE INSPECTION,RESTAURANT,151 + SEATS,HIGH RISK,OW0236865,CEDAR RESTAURANT GROUP LLC
DAGOZNKC0,2017,8,16,FA0244447,MARTINI'S PIZZERIA,90045-1524,94,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0239652,FELIPE JIMENEZ GOMEZ
DAD04EAGX,2017,8,16,FA0248956,CARNITAS URUAPAN MARKET & BAKERY,90033,96,A,OWNER INITIATED ROUTINE INSPECT.,FOOD MKT RETAIL,"2,000+ SF",HIGH RISK,OW0243281,ALBERTO DE LOS SANTOS
DAEWJCULF,2017,8,16,FA0224680,LA PARISIENNE,90071,85,B,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0229195,MARCO INVESTMENT CORP .
DACDHZXFZ,2017,8,16,FA0012662,CAMPOS TACOS,90066,95,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0005980,"CAMPOS, SILVIA"
DA0K4TF12,2017,8,16,FA0249092,YUCHUN,90005,81,B,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0243395,413 ENTERPRISES INC
DA80CVFXT,2017,8,16,FA0250176,SEDONA FARMS,90025,93,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",HIGH RISK,OW0244099,SEDONA FARMS KOSHER MARKET
DAS1KEM1D,2017,8,16,FA0166778,TUPANYOU PIZZA #1,90005,92,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0129878,STELLMONT GROUP CORP
DAU9I8U0L,2017,8,16,FA0249208,SWEETEA BAR,90020-1543,95,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0243500,SWEETEA BAR INC
DAZELK9PV,2017,8,16,FA0058410,BIONICOS MARISOL,90058,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0029136,"PULIDO, EDUARDO"
DA7WJK4YW,2017,8,16,FA0239316,BLACK SWAN CAFE,90019,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0235632,CASAOS CAFE CORP.
DAD5FMQAV,2017,8,16,FA0143610,TAWANNA THAI,90048,91,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0106677,A3P LLC
DAQ4Y0EKA,2017,8,16,FA0164330,PROJECT TACO,90048-5001,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0127685,PROJECT TACO - STORE 2 LLC
DA2RF7KP0,2017,8,16,FA0019271,DODGER STADIUM,90012,96,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,LOW RISK,OW0021606,LEVY PREMIUM FOOD SERVICE LP
DAAECVHR0,2017,8,16,FA0019271,DODGER STADIUM,90012,97,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,LOW RISK,OW0021606,LEVY PREMIUM FOOD SERVICE LP
DAFYAK0B8,2017,8,16,FA0068855,POLLOS EL BRASERO INC.,90006,98,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0015808,"HOKAMA, ROSARIO"
DAYAVKSLQ,2017,8,16,FA0067112,MOM'S RESTAURANT,90005,90,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0007005,"CHANG, DONG J"
DAZKCXCBS,2017,8,16,FA0170394,LOST KNIGHT,90026,93,A,ROUTINE INSPECTION,RESTAURANT,151 + SEATS,HIGH RISK,OW0178112,HGCC SUNSET OPERATIONS LLC
DAPHVUTEW,2017,8,16,FA0014283,CHAN DARA,90004,93,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,HIGH RISK,OW0019707,"KITTIVECH, BHASUWONGSE"
DALV9IHTJ,2017,8,16,FA0057109,AFC SUSHI AT WALGREENS #1527,90028,100,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0001761,ADVANCED FRESH CONCEPTS FRANCHISE CORP
DATXIVZ4Y,2017,8,16,FA0027548,HANNAM CHAIN SUPERMARKET,90006,95,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"2,000+ SF",HIGH RISK,OW0014757,"HANNAM CHAIN USA, INC"
DAU0FTOPN,2017,8,16,FA0048792,STARBUCKS COFFEE #8617,90041,98,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,LOW RISK,OW0033938,STARBUCKS COFFEE CORPORATION
DA30VD3EA,2017,8,16,FA0023437,FOOD 4 LESS #770,90017,97,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",HIGH RISK,OW0012108,"FOOD 4 LESS, INC."
DADYL7WRL,2017,8,16,FA0141137,FLYING FOOD GROUP,90045-5605,100,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0104256,FLYING FOOD GROUP
DAM0PQLX8,2017,8,16,FA0067588,NICKS COFFEE SHOP EST 1946,90035,98,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0022352,"LOVE, ALAN"
DAQD9RDKO,2017,8,16,FA0068808,PLAZA DEL VALLE MARKET,90005,90,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",HIGH RISK,OW0022183,"LOPEZ, LEONILA ESTELA"
DASGEBYZH,2017,8,16,FA0171729,RIGHT CHOICE CARIBBEAN MARKET,90008,82,B,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",HIGH RISK,OW0178791,DERRICK A HARVEY
DA0BEMZAE,2017,8,16,FA0019271,DODGER STADIUM,90012,96,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,LOW RISK,OW0021606,LEVY PREMIUM FOOD SERVICE LP
DANCKRQOS,2017,8,16,FA0019271,DODGER STADIUM,90012,98,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,LOW RISK,OW0021606,LEVY PREMIUM FOOD SERVICE LP
DA2HRX9O2,2017,8,16,FA0160623,TRATTORIA  NATALIE,90035,92,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0125575,"GOURMANDISE  PARIS,  INC"
DAPTDR8NM,2017,8,16,FA0175323,PIECE O PIZZA AND PASTA,90066,88,B,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0181884,JUAN BAUTISTA
DABTC8CTG,2017,8,16,FA0044678,PIZZA DELI,90028,92,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0013977,"GRASSU,GHEORGHE"
DAK51GFJC,2017,8,15,FA0038335,MCDONALD'S,90046,94,A,ROUTINE INSPECTION,RESTAURANT,61-150 SEATS,MODERATE RISK,OW0017898,"JONES,FRANCES R"
DAFIU9CVL,2017,8,15,FA0053913,VONS MARKET #2077,90034,97,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,LOW RISK,OW0038181,THE VONS COMPANIES INC.
DACU0RRXF,2017,8,15,FA0163740,CAFE MAK BAKERY,90005,83,B,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,MODERATE RISK,OW0101817,JNCD INVESTMENT CORPORATION
DAIZ5LGWD,2017,8,15,FA0019271,DODGER STADIUM,90012,96,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0021606,LEVY PREMIUM FOOD SERVICE LP
DAJOF3V91,2017,8,15,FA0058962,CAKE HOUSE,90020,95,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0008731,COOKS CAKE HOUSE INC.
DACNAC80P,2017,8,15,FA0019271,DODGER STADIUM,90012,93,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0021606,LEVY PREMIUM FOOD SERVICE LP
DAKSSMDHD,2017,8,15,FA0006095,BOOKS & CAFE,90066,91,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0024649,MITSUWA CORPORATION
DABOQMXIL,2017,8,15,FA0249604,GRILL CITY & CRISPY TOWN MAIN KITCHEN,90041,94,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0243832,"A & B AZUSA, INC"
DAJBQZ0SH,2017,8,15,FA0069210,RALPHS MARKET # 100,90046,98,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,MODERATE RISK,OW0029458,RALPHS GROCERY COMPANY
DAIMREZOY,2017,8,15,FA0180883,JACK N` JILLS` TOO,90048,90,A,ROUTINE INSPECTION,RESTAURANT,31-60 SEATS,HIGH RISK,OW0186221,"BERICH, INC"
DAYAWW86D,2017,8,15,FA0249833,TACOS TU MADRE,90004,92,A,ROUTINE INSPECTION,RESTAURANT,0-30 SEATS,HIGH RISK,OW0244038,LARCHMONT TACO SHOP 26 INC
DA0920489,2017,8,15,FA0019850,DURANS MARKET,90011,90,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",HIGH RISK,OW0006583,CAYETANO GREGORIO
DA0921691,2017,8,15,FA0010011,CORONA MARKET,90011,90,A,ROUTINE INSPECTION,FOOD MKT RETAIL,"1-1,999 SF",HIGH RISK,OW0025073,MORENO LUIS
